"","Day","Number","Full Name","Pos.","Ht.","Wt.","Class","Hometown","High School","Previous School","Twitter","Instagram","NIL"
"56",55,55,"=HYPERLINK(""https://broncosports.com/sports/football/roster/mana-tuioti/14267"",""Mana Tuioti"")","LB","5' 10''","228","So.","Eugene, Ore.","Sheldon HS","","=HYPERLINK(""https://twitter.com/ManaTuioti"",""@ManaTuioti"")","=HYPERLINK(""https://instagram.com/manatuioti"",""@manatuioti"")",""
"57",56,56,"=HYPERLINK(""https://broncosports.com/sports/football/roster/rowan-rupp/14386"",""Rowan Rupp"")","DL","6' 0''","252","Fr.","Meridian, Idaho","Rocky Mountain HS","","=HYPERLINK(""https://twitter.com/Rowan_Rupp"",""@Rowan_Rupp"")","=HYPERLINK(""https://instagram.com/rowan_rupp"",""@rowan_rupp"")",""
"58",57,57,"=HYPERLINK(""https://broncosports.com/sports/football/roster/gustaf-henriks-ras/14374"",""Gustaf Henriks Ras"")","EDGE","6' 4''","228","Fr.","Stockholm, Sweden","AIK Amerikansk","","=HYPERLINK(""https://twitter.com/gustaf_ras"",""@gustaf_ras"")","=HYPERLINK(""https://instagram.com/swedishfreak_"",""@swedishfreak_"")",""
"59",58,58,"=HYPERLINK(""https://broncosports.com/sports/football/roster/trevor-mckenna/14326"",""Trevor McKenna"")","DL","6' 6''","287","R-So.","Boise, Idaho","Borah HS","","=HYPERLINK(""https://twitter.com/Trevor__Mck"",""@Trevor__Mck"")","=HYPERLINK(""https://instagram.com/trevor__mck"",""@trevor__mck"")","trevor-mckenna"
"60",59,59,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jameson-perry/14335"",""Jameson Perry"")","OL","6' 5''","290","R-Fr.","Meridian, Idaho","Mountain View HS","","=HYPERLINK(""https://twitter.com/jamesoncperry"",""@jamesoncperry"")","=HYPERLINK(""https://instagram.com/jamesoncperry"",""@jamesoncperry"")",""
"61",60,29,"=HYPERLINK(""https://broncosports.com/sports/football/roster/arthur-de-boachie/14298"",""Arthur de Boachie"")","DB","6' 0''","192","So.","Amsterdam, The Netherlands","NFL Academy (England)","","=HYPERLINK(""https://twitter.com/ArthurDB_1"",""@ArthurDB_1"")","=HYPERLINK(""https://instagram.com/arthurdb_18"",""@arthurdb_18"")",""
"62",61,61,"=HYPERLINK(""https://broncosports.com/sports/football/roster/caden-kellow/14403"",""Caden Kellow"")","LS","5' 11''","223","R-Sr.","Brentwood, Tenn.","Ravenwood HS","Weber State / Missouri State / Utah State","=HYPERLINK(""https://twitter.com/CadenKellow58"",""@CadenKellow58"")","=HYPERLINK(""https://instagram.com/cnkellow"",""@cnkellow"")",""
"63",62,62,"=HYPERLINK(""https://broncosports.com/sports/football/roster/roger-carreon/14202"",""Roger Carreon"")","OL","6' 5''","310","R-Sr.","Jal, N.M.","Jal HS","","=HYPERLINK(""https://twitter.com/roger_carreon62"",""@roger_carreon62"")","=HYPERLINK(""https://instagram.com/rogercarreonn"",""@rogercarreonn"")","rogelio-carreon"
"64",63,35,"=HYPERLINK(""https://broncosports.com/sports/football/roster/trey-tolmaire/14265"",""Trey Tolmaire"")","DB","5' 11''","185","R-So.","Mission Viejo, Calif.","Mission Viejo HS","","=HYPERLINK(""https://twitter.com/TolmaireTreyvon"",""@TolmaireTreyvon"")","=HYPERLINK(""https://instagram.com/trey_tolmaire5"",""@trey_tolmaire5"")","treyvon-tolmaire"
"65",64,64,"=HYPERLINK(""https://broncosports.com/sports/football/roster/carson-rasmussen/14338"",""Carson Rasmussen"")","OL","6' 5''","300","R-Jr.","Meridian, Idaho","Owyhee HS","","=HYPERLINK(""https://twitter.com/carsonrass"",""@carsonrass"")","=HYPERLINK(""https://instagram.com/carsonrass"",""@carsonrass"")","carson-rasmussen"
"66",65,45,"=HYPERLINK(""https://broncosports.com/sports/football/roster/markell-bowens/14286"",""Markell Bowens"")","EDGE","6' 5''","240","R-Fr.","Pocatello, Idaho","Highland HS","","=HYPERLINK(""https://twitter.com/Markell_Bowens"",""@Markell_Bowens"")","=HYPERLINK(""https://instagram.com/markell.bowens"",""@markell.bowens"")",""
"67",66,66,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jacob-tracy/14355"",""Jacob Tracy"")","OL","6' 6''","300","R-Fr.","Yelm, Wash.","Yelm HS","","=HYPERLINK(""https://twitter.com/JacobTracy97"",""@JacobTracy97"")","=HYPERLINK(""https://instagram.com/jacob___tracy"",""@jacob___tracy"")",""
"68",67,67,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jason-steele/14346"",""Jason Steele"")","OL","6' 4''","300","R-Jr.","Temecula, Calif.","Murrieta Valley HS","","=HYPERLINK(""https://twitter.com/jvsonsteele"",""@jvsonsteele"")","=HYPERLINK(""https://instagram.com/jvsonsteele"",""@jvsonsteele"")","jason-steele"
"69",68,68,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jake-steele/14256"",""Jake Steele"")","OL","6' 4''","302","R-Sr.","Temecula, Calif.","Murrieta Valley HS","San Jos̩ State","=HYPERLINK(""https://twitter.com/Jake__Steele78"",""@Jake__Steele78"")","=HYPERLINK(""https://instagram.com/jake.steele78"",""@jake.steele78"")",""
"70",69,69,"=HYPERLINK(""https://broncosports.com/sports/football/roster/zander-esty/14427"",""Zander Esty"")","OL","6' 4''","300","R-Jr.","Auburn, Calif.","Placer HS","Oregon State","=HYPERLINK(""https://twitter.com/EstyZander"",""@EstyZander"")","=HYPERLINK(""https://instagram.com/zanderesty"",""@zanderesty"")",""
"71",70,70,"=HYPERLINK(""https://broncosports.com/sports/football/roster/kyle-cox/14205"",""Kyle Cox"")","OL","6' 6''","300","R-Jr.","Eatonville, Wash.","Eatonville HS","","=HYPERLINK(""https://twitter.com/coxkyle77"",""@coxkyle77"")","=HYPERLINK(""https://instagram.com/kylecox22"",""@kylecox22"")","kyle-cox"
"72",71,71,"=HYPERLINK(""https://broncosports.com/sports/football/roster/miles-walker/14359"",""Miles Walker"")","OL","6' 5''","317","R-Jr.","Greenwich, Conn.","Brunswick School","Ohio State","=HYPERLINK(""https://twitter.com/mileswalker76"",""@mileswalker76"")","=HYPERLINK(""https://instagram.com/mileswalk91"",""@mileswalk91"")",""
