"","Day","Number","Full Name","Pos.","Ht.","Wt.","Class","Hometown","High School","Previous School","Twitter","Instagram","NIL"
"1",0,10,"=HYPERLINK(""https://broncosports.com/sports/football/roster/cash-herrera/14378"",""Cash Herrera"")","QB","6' 2''","202","Fr.","La Jolla, Calif.","The Bishop's School","","=HYPERLINK(""https://twitter.com/CashHerrera_1"",""@CashHerrera_1"")","=HYPERLINK(""https://instagram.com/cash.herrera1"",""@cash.herrera1"")",""
"2",1,1,"=HYPERLINK(""https://broncosports.com/sports/football/roster/boen-phelps/14247"",""Boen Phelps"")","LB","6' 1''","215","R-Jr.","Spokane, Wash.","Freeman HS","","=HYPERLINK(""https://twitter.com/BoenPhelps"",""@BoenPhelps"")","=HYPERLINK(""https://instagram.com/boenphelps_1"",""@boenphelps_1"")","boen-phelps"
"3",2,13,"=HYPERLINK(""https://broncosports.com/sports/football/roster/darren-morris/14402"",""Darren Morris"")","WR","6' 1''","183","R-Sr.","Baton Rouge, La.","Southern Lab HS","Southern","=HYPERLINK(""https://twitter.com/darren12m"",""@darren12m"")","=HYPERLINK(""https://instagram.com/ayethats_dee"",""@ayethats_dee"")",""
"4",3,14,"=HYPERLINK(""https://broncosports.com/sports/football/roster/demetrius-freeney-jr/14213"",""Demetrius Freeney Jr."")","DB","6' 0''","187","R-Sr.","San Leandro, Calif.","San Leandro HS","Arizona / Miami (FL) / College of San Mateo","=HYPERLINK(""https://twitter.com/nolimit_meech"",""@nolimit_meech"")","=HYPERLINK(""https://instagram.com/7.meech"",""@7.meech"")",""
"5",4,4,"=HYPERLINK(""https://broncosports.com/sports/football/roster/maddux-madsen/14321"",""Maddux Madsen"")","QB","5' 10''","207","R-Sr.","Lehi, Utah","American Fork HS","","=HYPERLINK(""https://twitter.com/MadduxMadsen"",""@MadduxMadsen"")","=HYPERLINK(""https://instagram.com/m4ddogmadsen"",""@m4ddogmadsen"")","maddux-madsen"
"6",5,5,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jayden-virginmorgan/14357"",""Jayden Virgin-Morgan"")","EDGE","6' 3''","260","R-Sr.","San Diego, Calif.","Mt. Carmel HS","","=HYPERLINK(""https://twitter.com/jayden_virgin"",""@jayden_virgin"")","=HYPERLINK(""https://instagram.com/jayv_.5"",""@jayv_.5"")","jayden-virgin"
"7",6,15,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jerico-washington-jr/14415"",""JeRico Washington Jr."")","DB","5' 9''","176","R-Jr.","Atlanta, Ga.","Westlake HS","Kennesaw State","=HYPERLINK(""https://twitter.com/Lil_RicoJr_"",""@Lil_RicoJr_"")","=HYPERLINK(""https://instagram.com/luhjun1or"",""@luhjun1or"")",""
"8",7,7,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jaden-mickey/14328"",""Jaden Mickey"")","DB","6' 0''","182","R-Sr.","Eastvale, Calif.","Centennial HS","Notre Dame","=HYPERLINK(""https://twitter.com/jadenmickey_"",""@jadenmickey_"")","=HYPERLINK(""https://instagram.com/kinggmick"",""@kinggmick"")",""
"9",8,8,"=HYPERLINK(""https://broncosports.com/sports/football/roster/sherrod-smith/14344"",""Sherrod Smith"")","DB","6' 1''","185","Jr.","East Palo Alto, Calif.","Menlo-Atherton HS","College of San Mateo","=HYPERLINK(""https://twitter.com/Sherrodsmith16"",""@Sherrodsmith16"")","=HYPERLINK(""https://instagram.com/sherrod.8"",""@sherrod.8"")",""
"10",9,16,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jackson-taylor/14392"",""Jackson Taylor"")","QB","6' 1''","196","Fr.","Thousand Oaks, Calif.","Thousand Oaks HS","","=HYPERLINK(""https://twitter.com/jackson7taylor"",""@jackson7taylor"")","=HYPERLINK(""https://instagram.com/jackson.7.taylor"",""@jackson.7.taylor"")",""
"11",10,10,"=HYPERLINK(""https://broncosports.com/sports/football/roster/derek-ganter-jr/14215"",""Derek Ganter Jr."")","DB","6' 0''","212","R-Jr.","Pasadena, Calif.","Arcadia HS","Eastern Washington","=HYPERLINK(""https://twitter.com/DjGanter"",""@DjGanter"")","=HYPERLINK(""https://instagram.com/derekganterjr"",""@derekganterjr"")",""
"12",11,19,"=HYPERLINK(""https://broncosports.com/sports/football/roster/madden-soliai/14390"",""Madden Soliai"")","DB","5' 9''","179","Fr.","Kahuku, Hawai'i","Kahuku HS","","=HYPERLINK(""https://twitter.com/maddensoliai"",""@maddensoliai"")","=HYPERLINK(""https://instagram.com/__.agentx"",""@__.agentx"")",""
"13",12,22,"=HYPERLINK(""https://broncosports.com/sports/football/roster/roman-tillmon/14424"",""Roman Tillmon"")","DB","5' 11''","185","R-Jr.","Independence, Mo.","Fort Osage HS","South Dakota","=HYPERLINK(""https://twitter.com/RomanTillmon"",""@RomanTillmon"")","=HYPERLINK(""https://instagram.com/mularoman"",""@mularoman"")",""
"14",13,13,"=HYPERLINK(""https://broncosports.com/sports/football/roster/sterling-lane-ii/14229"",""Sterling Lane II"")","EDGE","6' 3''","238","R-Sr.","St. Louis, Mo.","Oaks Christian HS","Arizona","=HYPERLINK(""https://twitter.com/DeuceLane11"",""@DeuceLane11"")","=HYPERLINK(""https://instagram.com/deucelane.11"",""@deucelane.11"")",""
"15",14,14,"=HYPERLINK(""https://broncosports.com/sports/football/roster/max-cutforth/14208"",""Max Cutforth"")","QB","6' 2''","208","R-Jr.","Nampa, Idaho","Skyview HS","","=HYPERLINK(""https://twitter.com/cutforthmax"",""@cutforthmax"")","=HYPERLINK(""https://instagram.com/qbmaxcutforth"",""@qbmaxcutforth"")","max-cutforth"
"16",15,15,"=HYPERLINK(""https://broncosports.com/sports/football/roster/zeke-martinez/14236"",""Zeke Martinez"")","QB","6' 0''","215","R-Fr.","Meridian, Idaho","Meridian HS","","=HYPERLINK(""https://twitter.com/ZekeMartinez_3"",""@ZekeMartinez_3"")","=HYPERLINK(""https://instagram.com/z3ke_martinez"",""@z3ke_martinez"")",""
"17",16,16,"=HYPERLINK(""https://broncosports.com/sports/football/roster/franklyn-johnson-jr/14312"",""Franklyn Johnson Jr."")","DB","5' 10''","172","R-Jr.","Little Elm, Texas","Little Elm HS","","=HYPERLINK(""https://twitter.com/Franklyn_J25"",""@Franklyn_J25"")","=HYPERLINK(""https://instagram.com/frankhuncho10k"",""@frankhuncho10k"")","franklyn-johnson"
"18",17,17,"=HYPERLINK(""https://broncosports.com/sports/football/roster/logan-brantley/14397"",""Logan Brantley"")","LB","6' 0''","229","R-Jr.","Denver, Colo.","Cherry Creek HS","Kansas","=HYPERLINK(""https://twitter.com/LoganBrantley4"",""@LoganBrantley4"")","=HYPERLINK(""https://instagram.com/lbrantley28"",""@lbrantley28"")",""
"19",18,18,"=HYPERLINK(""https://broncosports.com/sports/football/roster/samuel-brooks/14288"",""Samuel Brooks"")","LB","6' 1''","200","Sr.","Duval County, Fla.","Baldwin HS","Dodge City CC","=HYPERLINK(""https://twitter.com/sam_brooks232"",""@sam_brooks232"")","=HYPERLINK(""https://instagram.com/5ambrooks"",""@5ambrooks"")",""
"20",19,19,"=HYPERLINK(""https://broncosports.com/sports/football/roster/rasean-jones/14382"",""Rasean Jones"")","WR","6' 2''","199","Fr.","Meridian, Idaho","Rocky Mountain HS","","=HYPERLINK(""https://twitter.com/RaseanJones8"",""@RaseanJones8"")","=HYPERLINK(""https://instagram.com/rasean_jones"",""@rasean_jones"")",""
"21",20,20,"=HYPERLINK(""https://broncosports.com/sports/football/roster/kyle-hall/14377"",""Kyle Hall"")","DB","6' 2''","205","Jr.","San Mateo, Calif.","Rocklin HS","College of San Mateo","=HYPERLINK(""https://twitter.com/theekylehall"",""@theekylehall"")","=HYPERLINK(""https://instagram.com/theekylehall"",""@theekylehall"")",""
"22",21,21,"=HYPERLINK(""https://broncosports.com/sports/football/roster/akeem-wright/14431"",""Akeem Wright"")","WR","5' 11''","165","Sr.","Baltimore, Md.","New Town HS","De Anza College / Mount Union","=HYPERLINK(""https://twitter.com/_keemw"",""@_keemw"")","=HYPERLINK(""https://instagram.com/keem1of1"",""@keem1of1"")",""
"23",22,22,"=HYPERLINK(""https://broncosports.com/sports/football/roster/juelz-goff/14419"",""Juelz Goff"")","RB","5' 9''","195","R-So.","York, Pa.","Central York HS","Pittsburgh","=HYPERLINK(""https://twitter.com/JuelzGoff"",""@JuelzGoff"")","=HYPERLINK(""https://instagram.com/juelz_2k"",""@juelz_2k"")",""
"24",23,23,"=HYPERLINK(""https://broncosports.com/sports/football/roster/keilan-chavies/14371"",""Keilan Chavies"")","RB","5' 9''","183","Fr.","Hutto, Texas","Hutto HS","","=HYPERLINK(""https://twitter.com/KeilanKc"",""@KeilanKc"")","=HYPERLINK(""https://instagram.com/keilankc"",""@keilankc"")",""
"25",24,24,"=HYPERLINK(""https://broncosports.com/sports/football/roster/dylan-riley/14250"",""Dylan Riley"")","RB","5' 10''","192","Jr.","Moreno Valley, Calif.","Rancho Verde HS","","=HYPERLINK(""https://twitter.com/dylanriley_24"",""@dylanriley_24"")","=HYPERLINK(""https://instagram.com/24_d2x"",""@24_d2x"")",""
"26",25,25,"=HYPERLINK(""https://broncosports.com/sports/football/roster/quinton-brown/14200"",""Quinton Brown"")","WR","5' 8''","165","So.","Argyle, Texas","Liberty Christian HS","","=HYPERLINK(""https://twitter.com/Q_Got_Next"",""@Q_Got_Next"")","=HYPERLINK(""https://instagram.com/q_got_next_24"",""@q_got_next_24"")",""
"27",26,26,"=HYPERLINK(""https://broncosports.com/sports/football/roster/sire-gaines/14303"",""Sire Gaines"")","RB","6' 0''","217","R-So.","Perris, Calif.","Orange Vista HS","","=HYPERLINK(""https://twitter.com/GainesSire"",""@GainesSire"")","=HYPERLINK(""https://instagram.com/sireee.11"",""@sireee.11"")","sire-gaines"
"28",27,27,"=HYPERLINK(""https://broncosports.com/sports/football/roster/harry-stewart-iii/14410"",""Harry Stewart III"")","RB","5' 10''","220","R-So.","Frisco, Texas","Centennial HS","Kansas","=HYPERLINK(""https://twitter.com/hstewartiii"",""@hstewartiii"")","=HYPERLINK(""https://instagram.com/hstewartiii"",""@hstewartiii"")",""
